condition,story,sub,segment_count,segment_count_demean,main_or_gap,base_segment,step_abs,step_abs_demean,refer_seg,base_refer_seg_pair,refer_seg_e,refer_seg_points
r0,2,0129-1,10,4.5,main,2_02,1.0,-2.25,2_1.0,2_02_2_1.0,0.0,3.5
r0,2,0131-1,1,-4.5,main,2_11,10.0,6.75,2_1.0,2_11_2_1.0,0.0,3.5
r0,2,0131-1,3,-2.5,main,2_09,8.0,4.75,2_1.0,2_09_2_1.0,0.0,3.5
r0,2,0131-1,5,-0.5,main,2_07,6.0,2.75,2_1.0,2_07_2_1.0,0.0,3.5
r0,2,0131-1,7,1.5,main,2_05,4.0,0.75,2_1.0,2_05_2_1.0,0.0,3.5
r0,2,0131-1,9,3.5,main,2_03,2.0,-1.25,2_1.0,2_03_2_1.0,0.0,3.5
r0,1,0131-2,2,-3.5,main,1_10,9.0,5.75,1_1.0,1_10_1_1.0,0.0,4.0
r0,1,0131-2,4,-1.5,main,1_08,7.0,3.75,1_1.0,1_08_1_1.0,0.0,4.0
r0,1,0131-2,6,0.5,main,1_06,5.0,1.75,1_1.0,1_06_1_1.0,0.0,4.0
r0,1,0131-2,8,2.5,main,1_04,3.0,-0.25,1_1.0,1_04_1_1.0,0.0,4.0
r0,1,0131-2,10,4.5,main,1_02,1.0,-2.25,1_1.0,1_02_1_1.0,1.0,4.0
r0,1,0131-3,1,-4.5,main,1_11,10.0,6.75,1_1.0,1_11_1_1.0,0.0,4.0
r0,1,0131-3,3,-2.5,main,1_09,8.0,4.75,1_1.0,1_09_1_1.0,0.0,4.0
r0,1,0131-3,5,-0.5,main,1_07,6.0,2.75,1_1.0,1_07_1_1.0,0.0,4.0
r0,1,0131-3,7,1.5,main,1_05,4.0,0.75,1_1.0,1_05_1_1.0,0.0,4.0
r0,1,0131-3,9,3.5,main,1_03,2.0,-1.25,1_1.0,1_03_1_1.0,0.0,4.0
r0,1,0204-1,1,-4.5,main,1_11,10.0,6.75,1_1.0,1_11_1_1.0,0.0,4.0
r0,1,0204-1,3,-2.5,main,1_09,8.0,4.75,1_1.0,1_09_1_1.0,0.0,4.0
r0,1,0204-1,5,-0.5,main,1_07,6.0,2.75,1_1.0,1_07_1_1.0,0.0,4.0
r0,1,0204-1,7,1.5,main,1_05,4.0,0.75,1_1.0,1_05_1_1.0,0.0,4.0
r0,1,0204-1,9,3.5,main,1_03,2.0,-1.25,1_1.0,1_03_1_1.0,0.0,4.0
r0,2,0203-2,1,-4.5,main,2_11,10.0,6.75,2_1.0,2_11_2_1.0,0.0,3.5
r0,2,0203-2,3,-2.5,main,2_09,8.0,4.75,2_1.0,2_09_2_1.0,0.0,3.5
r0,2,0203-2,5,-0.5,main,2_07,6.0,2.75,2_1.0,2_07_2_1.0,0.0,3.5
r0,2,0203-2,7,1.5,main,2_05,4.0,0.75,2_1.0,2_05_2_1.0,0.0,3.5
r0,2,0203-2,9,3.5,main,2_03,2.0,-1.25,2_1.0,2_03_2_1.0,0.0,3.5
r0,2,0209-2,2,-3.5,main,2_10,9.0,5.75,2_1.0,2_10_2_1.0,0.0,3.5
r0,2,0209-2,4,-1.5,main,2_08,7.0,3.75,2_1.0,2_08_2_1.0,0.0,3.5
r0,2,0209-2,6,0.5,main,2_06,5.0,1.75,2_1.0,2_06_2_1.0,0.0,3.5
r0,2,0209-2,8,2.5,main,2_04,3.0,-0.25,2_1.0,2_04_2_1.0,0.0,3.5
r0,2,0209-2,10,4.5,main,2_02,1.0,-2.25,2_1.0,2_02_2_1.0,0.0,3.5
r0,1,0211-1,1,-4.5,main,1_11,10.0,6.75,1_1.0,1_11_1_1.0,0.0,4.0
r0,1,0211-1,3,-2.5,main,1_09,8.0,4.75,1_1.0,1_09_1_1.0,0.0,4.0
r0,1,0211-1,5,-0.5,main,1_07,6.0,2.75,1_1.0,1_07_1_1.0,0.0,4.0
r0,1,0211-1,7,1.5,main,1_05,4.0,0.75,1_1.0,1_05_1_1.0,0.0,4.0
r0,1,0211-1,9,3.5,main,1_03,2.0,-1.25,1_1.0,1_03_1_1.0,0.0,4.0
r0,2,0209-3,1,-4.5,main,2_11,10.0,6.75,2_1.0,2_11_2_1.0,0.0,3.5
r0,2,0209-3,3,-2.5,main,2_09,8.0,4.75,2_1.0,2_09_2_1.0,0.0,3.5
r0,2,0209-3,5,-0.5,main,2_07,6.0,2.75,2_1.0,2_07_2_1.0,0.0,3.5
r0,2,0209-3,7,1.5,main,2_05,4.0,0.75,2_1.0,2_05_2_1.0,0.0,3.5
r0,2,0209-3,9,3.5,main,2_03,2.0,-1.25,2_1.0,2_03_2_1.0,0.0,3.5
r0,1,0211-2,2,-3.5,main,1_10,9.0,5.75,1_1.0,1_10_1_1.0,0.0,4.0
r0,1,0211-2,4,-1.5,main,1_08,7.0,3.75,1_1.0,1_08_1_1.0,0.0,4.0
r0,1,0211-2,6,0.5,main,1_06,5.0,1.75,1_1.0,1_06_1_1.0,0.0,4.0
r0,1,0211-2,8,2.5,main,1_04,3.0,-0.25,1_1.0,1_04_1_1.0,0.0,4.0
r0,1,0211-2,10,4.5,main,1_02,1.0,-2.25,1_1.0,1_02_1_1.0,0.0,4.0
r0,2,0215-2,2,-3.5,main,2_10,9.0,5.75,2_1.0,2_10_2_1.0,0.0,3.5
r0,2,0215-2,4,-1.5,main,2_08,7.0,3.75,2_1.0,2_08_2_1.0,0.0,3.5
r0,2,0215-2,6,0.5,main,2_06,5.0,1.75,2_1.0,2_06_2_1.0,0.0,3.5
r0,2,0215-2,8,2.5,main,2_04,3.0,-0.25,2_1.0,2_04_2_1.0,0.0,3.5
r0,2,0215-2,10,4.5,main,2_02,1.0,-2.25,2_1.0,2_02_2_1.0,0.0,3.5
r0,2,0216-1,1,-4.5,main,2_11,10.0,6.75,2_1.0,2_11_2_1.0,0.0,3.5
r0,2,0216-1,3,-2.5,main,2_09,8.0,4.75,2_1.0,2_09_2_1.0,0.0,3.5
r0,2,0216-1,5,-0.5,main,2_07,6.0,2.75,2_1.0,2_07_2_1.0,0.0,3.5
r0,2,0216-1,7,1.5,main,2_05,4.0,0.75,2_1.0,2_05_2_1.0,0.0,3.5
