story,segment_num,segment,cond_direction,condition,base_seg_num,ref_sc_num,ref_sc_hit,ref_seg_num,ref_step_base,ref_seg_type,main_or_gap,refer_type,refer_type_base_only,referring_type,rr_type,refer_list,referring_list,refer_boost_step_left,refer_boost_step_right,refer_boost_step,refer_boost_type,refer_boost_type_tri,refer_type_merge,refer_type_d,refer_type_point,refer_type_point_merge,referring_type_point,sc_point,refer_point_c,refer_point_c_merge,referring_point_c,ref_step_base_abs,color
1,5,1_05,b,r0,6,603,0.0,6.0,0.0,self,main,NA,NA,NA,NA,[552 504 505 506],[405],0.5,99.0,0.5,NA,NA,,,,,,1.0,,,,0.0,#59a14f
1,6,1_06,b,r0,7,603,0.0,6.0,-1.0,target,main,none,none,none,none,[504 505 506 632 651],[],0.0,0.0,0.0,same_seg,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,#c85200
1,7,1_07,b,r0,8,603,0.0,6.0,-2.0,ahead_main,main,none,none,none,none,[],[704 704],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,#fc7d0b
1,8,1_08,b,r0,9,603,0.0,6.0,-3.0,ahead_main,main,none,none,none,none,[852 881],[803],99.0,2.5,2.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,#fc7d0b
1,9,1_09,b,r0,10,603,0.0,6.0,-4.0,ahead_main,main,none,none,none,none,[],[904 904 904],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,#fc7d0b
1,10,1_10,b,r0,11,603,0.0,6.0,-5.0,ahead_main,main,none,none,none,none,[1003 1004 1054 1055 1056 1052 1031 1081],[],99.0,4.0,4.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,#fc7d0b
2,5,2_05,b,r0,6,603,0.0,6.0,0.0,self,main,NA,NA,NA,NA,[156 553 252 302 452 452 301],[],0.5,99.0,0.5,NA,NA,,,,,,1.0,,,,0.0,#59a14f
2,6,2_06,b,r0,7,603,0.0,6.0,-1.0,target,main,none,none,none,none,[252 302 652 656 452 452 654 653 301],[],1.5,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,#c85200
2,7,2_07,b,r0,8,603,0.0,6.0,-2.0,ahead_main,main,none,none,none,none,[452 751 752 753 706 452 654 653 301 708],[703 703],1.5,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,#fc7d0b
2,8,2_08,b,r0,9,603,0.0,6.0,-3.0,ahead_main,main,none,none,none,none,[706 851 452 654 653 301 708 851],[703 801],1.5,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,#fc7d0b
2,9,2_09,b,r0,10,603,0.0,6.0,-4.0,ahead_main,main,none,none,none,none,[452 654 653 951 952 301 708 851 902],[703 801],1.5,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,#fc7d0b
2,10,2_10,b,r0,11,603,0.0,6.0,-5.0,ahead_main,main,none,none,none,none,[ 301  708  851  902 1001 1053 1052],[1031],3.0,1.0,1.0,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,#fc7d0b
1,2,1_02,f,p,1,604,0.0,6.0,5.0,ahead_main,main,none,none,none,none,[151 152 153 155 233],[],4.0,99.0,4.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,#5fa2ce
1,3,1_03,f,p,2,604,0.0,6.0,4.0,ahead_main,main,none,none,none,none,[301],[303 303 303],3.0,99.0,3.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,#5fa2ce
1,4,1_04,f,p,3,604,0.0,6.0,3.0,ahead_main,main,none,none,none,none,[],[403 403],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,#5fa2ce
1,5,1_05,f,p,4,604,0.0,6.0,2.0,ahead_main,main,none,none,none,none,[451 631],[],0.0,0.0,0.0,same_seg,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,#5fa2ce
1,6,1_06,f,p,5,604,0.0,6.0,1.0,target,main,none,none,none,none,[631],[702 702 702],0.0,0.0,0.0,same_seg,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,#1170aa
1,7,1_07,f,p,6,604,0.0,6.0,0.0,self,main,NA,NA,NA,NA,[],[702 702 702 702],99.0,99.0,99.0,NA,NA,,,,,,1.0,,,,0.0,#59a14f
2,2,2_02,f,p,1,604,0.0,6.0,5.0,ahead_main,main,none,none,none,none,[153 151 231],[],4.0,99.0,4.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,#5fa2ce
2,3,2_03,f,p,2,604,0.0,6.0,4.0,ahead_main,main,none,none,none,none,[251],[],3.5,99.0,3.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,#5fa2ce
2,4,2_04,f,p,3,604,0.0,6.0,3.0,ahead_main,main,none,none,none,none,[],[ 402  704 1105],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,#5fa2ce
2,5,2_05,f,p,4,604,0.0,6.0,2.0,ahead_main,main,none,none,none,none,[456 451 454],[ 704 1105],1.5,99.0,1.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,#5fa2ce
2,6,2_06,f,p,5,604,0.0,6.0,1.0,target,main,none,none,none,none,[552 551 553],[ 704 1105],0.5,99.0,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,#1170aa
2,7,2_07,f,p,6,604,0.0,6.0,0.0,self,main,NA,NA,NA,NA,[651 652],[ 704 1105],99.0,0.5,0.5,NA,NA,,,,,,1.0,,,,0.0,#59a14f
1,2,1_02,f,p0,1,604,0.0,6.0,5.0,ahead_main,main,none,none,none,none,[151 152 153 155 233],[],4.0,99.0,4.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,#5fa2ce
1,3,1_03,f,p0,2,604,0.0,6.0,4.0,ahead_main,main,none,none,none,none,[301],[303 303 303],3.0,99.0,3.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,#5fa2ce
1,4,1_04,f,p0,3,604,0.0,6.0,3.0,ahead_main,main,none,none,none,none,[],[403 403],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,#5fa2ce
1,5,1_05,f,p0,4,604,0.0,6.0,2.0,ahead_main,main,none,none,none,none,[451 631],[],0.0,0.0,0.0,same_seg,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,#5fa2ce
1,6,1_06,f,p0,5,604,0.0,6.0,1.0,target,main,none,none,none,none,[631],[702 702 702],0.0,0.0,0.0,same_seg,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,#1170aa
1,7,1_07,f,p0,6,604,0.0,6.0,0.0,self,main,NA,NA,NA,NA,[],[702 702 702 702],99.0,99.0,99.0,NA,NA,,,,,,1.0,,,,0.0,#59a14f
